hash,move,score - This file contains all positions with 6 moves on a 7x6 board.
4433217864197,5,17
4501400470021,4,17
4501664711301,5,2
13228771918469,3,-2
4432676897285,2,3
4432676799882,3,-2
4501396292229,2,0
4432681074949,2,4
4432949461253,1,1
4432945332485,2,4
8830723408133,2,4
4501396357381,3,3
8830723309847,3,0
4433215799557,1,0
4501398405381,3,0
13263129559685,2,0
4433754734853,5,17
4433217880325,5,3
13228769902853,3,3
4432687284491,1,4
8830723342603,2,1
4570119946501,4,17
4432676881029,2,3
4501400486149,3,4
4433213686027,2,2
13228774031621,3,4
4467036635397,2,3
13228769853957,2,-1
4501664711050,3,-2
4501933146629,3,17
8830727536901,2,4
4432701964549,3,3
4432681058565,1,0
4432957817093,3,6
4432689381893,3,5
4433222058245,5,17
8831264375045,4,4
4570115784965,1,4
4432685220101,1,0
4432689398021,3,5
8899446980869,4,3
13228771950853,1,-1
13228774015493,3,2
4501664743685,2,3
8830735892741,3,5
13229042450693,3,2
4467577602309,3,2
4570652623109,3,17
4434287411717,5,5
4433213670533,1,1
4434018976389,3,4
4432676798765,3,-1
4501668905221,3,2
4501406761221,3,4
4432687317253,3,4
4434023170309,3,4
4501933162757,4,4
13229306708229,5,3
4501404664069,4,17
8899442819333,1,4
4433213735173,2,-2
4502470017285,3,17
13297489297925,3,0
13297489314053,3,3
4433750573317,2,-1
8899979657477,4,4
4467049120005,3,5
4433224155397,3,4
4433213751557,2,4
4434289508613,4,3
4467040764165,1,2
4501396340997,3,-2
4434019008773,2,4
22025399714053,3,3
4434287427845,4,4
8832333922565,4,4
4434018976011,4,2
4501396276357,3,1
4501935243525,3,0
4604479684869,3,5
4638835245317,5,3
8831260213509,2,3
8899442786698,5,2
4432676799126,3,0
13229306692101,3,0
22059222581637,3,3
4638835229189,4,4
4604475490949,3,3
13228780306693,3,3
9036881740037,5,3
22024867037445,4,3
13228769821829,3,1
4639103664389,5,2
8899442786949,3,0
13228769886469,2,-3
13366208774405,3,-1
4638837326085,3,3
13229038289157,2,0
4844993659141,3,3
13228778209541,3,-2
4435898024197,3,3
13263133753605,3,4
22024862843147,3,-2
13229843562757,5,0
4502738452741,2,0
8899442786571,3,0
4432687284869,3,3
13297757733125,3,-3
22127942058119,0,-3
22059226775686,3,3
22059224678535,0,-2
4432676929675,3,-3
13297491394821,3,-1
4467573440773,2,0
4432676864150,3,0
4432678912151,4,-3
4432676847767,2,-2
22059222597767,5,0
4468647149829,4,3
13229308788997,1,0
4432678912395,3,0
22059491016839,0,1
4433215783051,3,0
4432685203595,3,-2
26422909354378,3,0
4501398388875,3,0
4501396324491,3,-2
4432681042059,5,-2
4432949444747,2,3
13228769869963,3,-2
13229038272651,3,-2
4467036602507,2,0
4604475490571,3,2
13230111998213,1,1
8830723375243,3,0
13228771934347,4,-3
4467040747659,2,3
4432676864773,2,2
4432945250699,2,2
4501664727179,2,2
4432676929925,3,18
4433213685910,3,2
4432676816517,2,0
4432945299595,3,-2
13228769821957,4,-1
4432681009925,3,5
4432681042309,3,0
4432676815021,3,-2
4433750556811,2,1
4432945250455,3,-4
13263129575563,2,0
4432676848517,1,8
4432945299845,3,18
22162301796486,3,0
13228769837829,3,3
4432678961291,2,-4
8830727520395,2,2
4432945251205,4,4
4467036602757,3,18
4432678961541,3,-2
4432676815254,3,0
4432676848011,2,-3
4432676815627,3,3
4501396292357,3,2
8830723375493,3,18
4432678912901,1,2
4432949444997,2,3
4467036554117,1,3
13228769837206,3,2
22059222581389,3,1
22024862859403,3,0
4432685203845,3,-3
4433213718917,2,-3
4432676962442,3,4
4570115768459,3,-2
4433215783301,4,2
4432676946059,2,0
4501396324741,2,-3
8830723326853,1,3
4432685252741,1,18
13228769870213,2,-3
13229038272901,2,2
4433213718667,2,-3
4432681009302,4,2
4432949493893,1,18
4433750605957,3,17
4604475523333,2,3
4501396291734,3,2
13228771934597,3,0
4467040796805,1,18
4467036553611,2,2
4570115817605,3,17
4467040747909,3,3
4432677126277,1,2
8830727569541,1,18
8831260246149,3,17
8899442851973,3,17
4501398389125,3,2
4432681123973,1,18
4432676816261,1,-1
8830723473541,3,4
4432679059589,3,-1
4433215832197,4,-4
4432687300747,4,0
4432676946309,2,0
4467573473413,2,0
13228774064261,3,0
4432676962565,2,0
4433217912965,3,0
13263129624709,1,-1
13228769968261,4,0
4501664776325,1,0
13229038321797,1,0
22059759452294,1,1
4432689430661,3,5
13228780322949,4,0
4432687300997,3,3
13229042466949,2,2
4433750557061,2,-1
4432957833349,3,5
4433224171653,3,5
4501398438021,3,-2
4433213800581,3,17
4432687349893,3,3
4433213686533,3,2
8830723326347,2,2
4433213816965,2,0
13400568512773,3,2
4501406777477,3,3
22024862908549,2,0
13228771983493,3,-2
4432945397893,4,1
26422909354251,3,-1
22059222581511,0,0
13263129592069,2,-2
4501396422789,2,0
4433222074501,5,-3
4467036553367,5,-2
4432701980805,5,3
4467573424267,2,2
4501400518789,5,3
4501664727429,2,2
4467577618565,2,2
4501396406405,3,17
4434023186565,2,4
13263129575813,2,-2
4434289524869,4,4
4501404680325,3,3
4434018992517,2,4
8830727520645,3,3
13229308805253,4,2
4434287460485,4,2
13263133769861,2,0
4501933195397,2,0
8831264391301,2,2
4434019041413,2,2
4467573424517,2,2
4433754751109,4,1
4467049136261,3,5
4434018992267,3,-2
4467036700805,2,0
13297489346693,2,0
13230112014469,3,2
13228778225797,3,2
4570119962757,6,1
4501668921477,4,3
8831260197003,2,2
22024867053701,5,4
4638835277957,3,3
22025131278725,3,4
4501935259781,5,2
13229306740869,3,-2
4638837342341,5,2
13366208790661,3,1
22025133375623,0,-4
13228769951877,1,-3
4604479701125,3,4
13297757749381,4,0
22025131294855,0,-4
4502738468997,2,4
8832333938821,4,4
4604475555973,2,3
13229843579013,5,0
4502470033541,3,0
4432681140357,3,0
8899446997125,5,1
22025668149383,0,-3
4468647166085,4,4
4639103680645,3,3
4432693575819,2,-2
22025131311237,3,2
8830735908997,3,5
13297491411077,3,-1
4435898040453,2,2
22025936584838,1,1
4432953622667,3,3
4432678928534,2,0
4604475506827,2,2
9036881756293,5,3
13400568529029,5,2
4433215766678,4,-2
4432683122827,3,-4
22024862875909,1,1
8831260197253,2,3
13228771917974,3,-2
4432947331467,2,-4
4432947331223,2,-6
4501398372502,3,-2
13229040353419,2,-2
22025131278477,3,2
4570115768709,6,-1
4432678895789,3,-2
4432685187222,3,2
4432947363979,2,0
4432678896395,3,4
4844993675397,2,0
22059222581638,4,1
4501666807947,3,1
13228776112267,3,-4
8830731698315,3,2
4432693576069,2,18
22025135472774,4,0
8899442802827,5,2
4501402566795,3,-4
4433752637579,3,-3
4570652639365,4,3
4432953622917,2,18
13228771918597,3,2
4501398373125,1,2
13263666430213,4,-2
4433219960971,4,-5
4432683090821,1,2
4467044925829,2,18
4467044925579,3,1
8830725407115,3,-2
4432678929157,3,4
26422909370507,2,2
4467038666891,3,-2
8830731698565,2,18
4605012377733,2,3
4432947331973,1,2
4467038634135,4,-5
13263666446469,2,0
4432678977675,4,0
4432678897285,3,0
22024862859653,4,0
13263131656331,3,-2
4432679092357,3,0
8831262277771,3,0
4432685269125,3,1
4432693608581,1,18
4570117849227,3,-2
4467038667141,3,0
4467038634885,1,2
13228771999877,4,0
4432953655429,1,18
4432683188357,2,3
4467038634379,6,-4
4432683123077,3,-4
4433219993733,3,-4
4467044958341,1,18
4433215848581,4,4
4570117849477,3,0
4432947364229,3,0
4433215767301,4,2
8830731731077,1,18
4432683090071,2,-5
4467575505285,1,2
4432678977925,2,3
8830725407621,1,3
4467575505035,3,-2
8830723326103,3,0
13263131656581,3,2
4570117881989,3,0
4501398454405,2,2
4432678896022,3,-1
4467575537797,2,0
8830725439877,3,0
13263131689093,3,0
13229040353669,1,2
4433758929029,2,17
8830725439627,3,-2
13228776145029,3,-6
4432695672971,3,-2
13229040386181,4,2
4570124140677,2,17
22025131278599,4,0
4501402599557,3,-4
8831268569221,2,17
8899451175045,2,17
13228788695173,3,0
4433230446725,2,17
8830725406871,3,-3
13229046644869,3,2
4433752670341,3,-4
4432697786501,3,0
4432695705733,3,0
4501666808197,3,3
22024864940171,3,-2
22059222614150,3,0
4432966205573,3,2
13230114095237,2,2
4432947429509,2,2
4434293702789,4,3
4434027364485,3,4
4433219961221,3,-4
4501666840709,3,2
4501413052549,2,17
4604475507077,1,2
8830725505157,2,3
4467057508485,3,4
4501673099397,3,0
4432695673221,3,0
4434021073285,2,-3
8831262278021,3,0
4434021105797,4,2
4435900121221,3,-2
4432718741637,4,1
4467038732421,2,2
8899979673733,2,0
4468649246853,4,2
4432683090315,3,-4
4502740549765,4,3
13297759830149,3,0
4467581796485,2,-2
22024864972933,3,0
4638841520261,5,3
13228786598021,3,-2
4501939437701,3,-4
8832336019589,4,3
4639105761413,5,2
4433752637829,3,-2
4844995756165,3,0
22024864956551,0,-3
4501402567045,3,-5
4434021073035,2,-2
13263668527237,5,2
4433232543877,3,-1
4570654720133,3,-2
13229845659781,4,-3
4501415149701,3,0
4432697770245,3,3
8831262310533,4,0
4432697770122,3,4
4433482105227,3,2
4604477620357,5,2
22024869134471,0,-4
22024871231621,3,1
22093850755206,4,0
22024864940421,3,0
4432685187845,3,2
4433482137739,1,2
8830744281221,3,4
4433486299275,1,2
13263137947781,3,0
4467304972683,3,2
22025131278726,4,0
13229312983173,3,-5
8899444883595,3,0
13400570609797,3,4
13228776112517,3,-3
22024864940173,3,0
8899981754501,3,-1
4467305005195,3,2
4432945235589,3,3
4433750540438,3,2
26422911451275,3,-2
8830991745419,3,4
4433482104983,3,-4
22024864940422,1,2
4433482137989,3,18
4433486299525,2,18
13229575127179,3,-2
4433482105733,3,3
4502201581707,4,0
8831797051531,3,2
4467305005445,3,18
4467309166981,2,18
4467304972439,3,0
4604477587595,2,-3
22024864972934,3,-2
8830995939467,3,5
8830991778181,3,18
8830995939717,2,18
22024871231622,3,3
4467304973189,3,4
8830991777931,3,3
4432945234093,3,2
13263397994635,3,2
8830991745925,3,4
4434824282501,3,-2
13297495588997,3,-5
4432945315979,3,3
4604477587845,2,-2
4433486332037,1,18
4434824315013,3,17
4467309166731,3,5
4432945430661,3,3
