hash,move,score - This file contains all positions with 4 or 5 moves on a 8x7 board.
72622747326415621,3,0
144398874977566981,4,5
360570549006565638,5,0
144397775482716421,4,6
216736835890708741,2,0
72622747326546181,4,2
73466072761696517,3,-4
72344570901364997,3,-4
72626045861298437,2,-3
144679250442649861,4,6
73186796791464197,3,1
72340172838339077,2,-4
144397788350841093,3,3
217299785844064517,3,0
72622747359969541,5,3
288512954951991557,3,6
72621647815115013,2,4
72621664994656517,3,-4
72627145372926213,3,3
144397766876070661,3,-3
216458659448815877,5,-4
73466072744984837,3,-3
144398866387632395,5,-2
73466077039886597,3,-4
288512954985414917,4,8
288512963541795077,3,8
144403264434143493,3,4
73184597768208651,3,-4
74873447628472581,3,-2
72340177133044489,3,3
72623846838108421,2,0
72344575179555077,4,-5
144397771170971915,4,-3
216737935402270981,4,-2
72906421326381317,5,-3
72341272349704969,3,0
144397766876005893,3,3
72621647814788613,4,2
144397766959890693,3,6
72340172838077202,4,5
73184597768209157,3,-3
145523666782847237,3,0
288515153975116037,3,6
72340172854854409,4,-3
73466072744919557,4,1
72340172838080004,1,6
144397766876332293,2,4
72341272349705733,5,3
72621647814787350,3,-3
73466072744919306,4,1
72341272349836036,3,3
144397766909559556,4,8
72621647848342276,4,6
72340181428012548,3,6
73748647233257733,4,3
360852023966499078,4,-3
144397775465939716,3,8
144397766876005129,3,3
72621647814787849,3,0
72341272383259396,3,5
72341280939639556,4,6
72341272349705988,1,4
288512954951860997,3,3
72340172871697156,3,3
72621647814853381,3,-3
72621656404722436,3,6
144397766876006148,4,5
72340177166598916,3,2
72340172838208264,0,2
72340172838077961,3,1
360570548989853958,5,-2
72345670396216068,4,6
144397766876136196,4,3
144681440875970821,3,3
72340181428011784,0,2
72340172854985476,3,1
360570549006565637,3,-4
73467172256547077,3,-3
72340181444788996,3,4
289075904905281797,3,2
144397766876004630,3,1
72342371861398276,4,6
72621647814918916,4,2
72340172871631624,0,5
72903122808275716,3,3
72342371861332744,0,2
72340181428077316,4,6
72340172838078216,0,2
72621647814788868,1,3
72903122791498504,0,3
72903122791564036,4,5
72342371878109956,3,2
72340172921963268,3,4
72340172871632388,3,6
72342371861333508,2,5
216455360930710276,3,1
72341272349707522,4,3
72340172838404868,4,6
72340172854855428,3,0
